"id","transactions"
0,108082.923003206
1,95063.4299666923
2,90908.2453245796
3,89977.1447671358
4,84428.8330996174
5,87676.623231129
6,100211.611018809
7,93395.6086780662
8,80936.7507329317
9,77545.8013579692
10,77561.5534759856
11,73118.3419637936
12,77602.3403089437
13,91475.4103729237
14,86068.7504682581
15,75059.2373833293
16,73126.4725178542
17,74578.9039498095
18,71522.0288716953
19,77315.3289201133
20,92396.6927603977
21,88076.5577521706
22,78014.6551906485
23,76877.3606610916
24,78964.015407161
25,76375.2200669674
26,82469.7530901012
27,97688.8708330235
28,93350.2265269172
29,83124.3005348921
30,81691.3536588456
31,83367.2816154966
32,80271.3858876532
33,85782.7283529304
34,100363.84258359
35,95354.0552729487
36,84445.3263819508
37,82338.6354200026
38,83369.306691725
39,79674.3020976248
40,84648.1606005713
41,98766.36699336
42,93378.4109643021
43,82183.4502242353
44,79886.6078082628
45,80824.2965796936
46,77131.5972595792
47,82198.364474179
48,96492.8366565974
49,91355.0020507137
50,80472.624166819
51,78537.9450468283
52,79873.4466297507
53,76599.6832015761
54,82091.8458726278
55,96803.8215497424
56,92061.9858429772
57,81541.6213644972
58,79923.969129236
59,81522.2842252382
60,78449.9013776795
61,84076.9659314087
62,98854.5893654706
63,94108.6675486774
64,83516.2540833976
65,81762.4993926853
66,83166.5315952434
67,79849.2914223576
68,85189.9848586368
69,99649.9220347455
70,94565.9909545532
71,83626.6694095467
72,81528.597038015
73,82602.0948291341
74,78978.6552019185
75,84047.0765173525
76,98277.0197377539
77,93012.243750471
78,81946.4291774314
79,79779.6174567261
80,80843.655569961
81,77269.6707958857
82,82444.2487696541
83,96833.0901976657
84,91774.3986959202
85,80954.9039882034
86,79066.5403195402
87,80432.1624166764
88,77173.3144804511
89,82666.7160264748
90,97368.2301891621
91,92606.5572524078
92,82059.548263843
93,80411.1498196266
94,81977.3544500164
95,78874.1652919512
96,84474.2333586736
97,99230.928963564
98,94472.0875552557
99,83876.3239265516
100,82129.9266054827
101,83552.7091574312
102,80265.8308657745
103,85648.2502340263
104,100160.579172682
105,95138.5854001018
106,84269.2450199395
107,82247.3655547992
108,83401.1648396957
109,79859.8268463932
110,85009.7061492125
111,99317.9565708864
112,94125.8383882862
113,83124.6118800317
114,81012.0421131672
115,82117.9036534467
116,78571.5081273191
117,83757.9267314967
118,98141.6821459059
119,93060.1617245339
120,82199.6559108642
121,80252.0417401891
122,81540.4940488548
123,78187.2404227928
124,83570.0244785796
125,98146.044064838
126,93245.6082760097
127,82548.4093812815
128,80740.4220736411
129,82139.8058199136
130,78864.8203383635
131,84290.4138073451
132,98872.2465732083
133,93940.39171398
134,83175.6073835011
135,81266.1935520346
136,82533.8105096473
137,79101.2720635585
138,84348.9771583882
139,98738.7478974901
140,93607.3214481117
141,82642.3975977527
142,80539.2619195473
143,81626.3695167394
144,78032.909902594
145,83145.0241474304
146,97429.4492178488
147,92226.8432601757
148,81227.6989917515
149,79128.8695072514
150,80259.0946396464
151,76746.5503189714
152,81975.092607851
153,96407.9705284317
154,91381.259292318
155,80579.9176923623
156,78694.4894048785
157,80046.8307714282
158,76757.8810974313
159,82204.1401085872
160,96841.6192302074
161,91999.510676775
162,81356.4705507963
163,79597.5284457923
164,81039.9994009017
165,77801.408272443
166,83256.0861267871
167,97859.2013828613
168,92940.4669781028
169,82180.4183583441
170,80267.2747465259
171,81522.7608650548
172,78069.901830486
173,83289.4547272631
174,97643.7446191814
175,92470.1522785057
176,81457.1552275614
177,79300.9419213485
178,80330.983969152
179,76677.5869456673
180,81728.0909940571
181,95950.4962981137
182,90686.7674138111
183,79628.7239453313
184,77474.5422774377
185,78554.2569808931
186,74997.2848756875
187,80188.644022493
188,94592.6423822063
189,89546.2883950616
190,78735.3278746252
191,76850.9275738207
192,78215.3885544526
193,74949.9058920176
194,80431.0397625671
195,95114.6648790556
196,90329.6424455089
197,79754.1108810346
198,78072.407719804
199,79600.9983088002
200,76456.4210000415
201,82011.9079425148
202,96721.443579278
203,91913.5013944969
204,81267.3528949821
205,79469.9603990571
206,80841.8298899174
207,77504.8357204221
208,82838.6797659901
209,97304.751920599
210,92239.6384297576
211,81331.1789734647
212,79275.0917746825
213,80400.5512286146
214,76837.7383670919
215,81974.0353037127
216,96277.6388656971
217,91090.8477163598
218,80105.9309499828
219,78021.6035339404
220,79168.4980328014
221,75676.6565445846
222,80931.7161682438
223,95398.5638614549
224,90414.7140955266
225,79666.3148575435
226,77844.8034734331
