"id","transactions"
0,71281.2995060546
1,4563.12415116868
2,22864.951311572
3,92146.8381494762
4,91745.9844831853
5,83595.0860645441
6,86238.5381569939
7,103216.809218535
8,99925.6948936939
9,83770.4210025323
10,80698.5452143839
11,79163.8918972217
12,77946.8500035509
13,85766.7012116048
14,101724.156483232
15,97801.231496018
16,84524.6049147405
17,78960.6916010103
18,85550.5616412396
19,77010.5651799873
20,82320.879568632
21,97643.0491398148
22,92444.4907172152
23,79110.5308196189
24,78361.906097449
25,79455.9151926877
26,75813.4908106506
27,83392.3192284121
28,100100.806901615
29,98074.2676932116
30,90629.0735762202
31,87462.5857845114
32,87116.4188738039
33,84911.8323083518
34,91473.7762155296
35,102264.258927743
36,81641.898872718
37,77932.2087373665
38,81824.9280167129
39,88961.8476389727
40,83822.0313503633
41,89591.5593347595
42,103999.445680865
43,102013.32232077
44,85521.183327077
45,83382.0964804429
46,83293.1898163833
47,77552.6538218954
48,84911.1935336658
49,97589.2273920329
50,93909.2503495423
51,82716.182817554
52,80206.9961090432
53,80864.3157059347
54,76646.6506784554
55,82499.2695830887
56,97611.9682057812
57,92681.9736690458
58,83382.5426560998
59,90365.2414803116
60,91262.5034532089
61,82593.0591475386
62,88938.24020144
63,104086.412629858
64,97846.8873488053
65,87604.9711422843
66,86753.5219655826
67,82373.1774453141
68,79718.6180157612
69,85462.3624296081
70,99337.0963613022
71,93214.1705006187
72,82053.902595674
73,82522.0302975748
74,84444.1534251024
75,79046.840017565
76,85667.0697574159
77,99010.9485474049
78,92667.0685332674
79,84341.1509480085
80,80393.0450018318
81,85052.8766482358
82,89359.645026773
83,81407.1167547978
84,93558.7959718873
85,85324.7052243442
86,79937.8627664329
87,78793.4776001126
88,78824.9093143434
89,80545.8203275896
90,92332.1958581932
91,106998.21615018
92,106103.731095374
93,88239.4819211449
94,85819.4215039976
95,84540.4891711586
96,80038.9325981094
97,86477.1407352772
98,99987.9409892448
99,95100.8055307111
100,81532.2161763613
101,85716.0267169922
102,82744.155788617
103,77713.7564013584
104,85852.9081941144
105,93201.9757705478
106,96365.2172910379
107,106443.610202954
108,101792.922194348
109,97387.2877786742
110,88016.8733330661
111,88919.8086080896
112,102235.718119594
113,96346.8519761253
114,81108.5628366307
115,79758.1183687295
116,79754.480528279
117,75566.0876156207
118,85151.3067010824
119,105026.272736789
120,104392.197193305
121,88053.1242560391
122,88039.2048310248
123,88655.6735449609
124,84787.719673707
125,93339.5266852824
126,119476.00191977
127,99859.0367415918
128,84874.0945256764
129,80819.161697247
130,83189.1838468917
131,78605.1487777743
132,84424.8771176694
133,99519.9180564892
134,98227.2452032152
135,83995.3927713396
136,80939.0038182636
137,77155.955273259
138,77527.9154633968
139,86428.1530619977
140,98857.2677850705
141,95955.039014627
142,82427.7802292239
143,76868.8444966802
144,77560.0844192229
145,76945.4094822543
146,90594.8127550199
147,91266.476580687
148,90481.7025514693
149,83786.6036536178
150,95808.4957350115
151,91282.9799312375
152,82330.4883999021
153,87412.1599557147
154,102767.654166647
155,100064.921165347
156,84109.5076858492
157,81079.0835105321
158,82812.0785829451
159,76785.9499090849
160,82971.9744291853
161,95772.5961996626
162,92597.9679068669
163,79821.6343409859
164,78953.7731351912
165,82933.6876014477
166,83592.907339984
167,88289.896772037
168,109420.715484512
169,95620.7614156769
170,83439.2510801717
171,81333.8905097939
172,80277.8790046976
173,75426.2648287966
174,81308.5653514776
175,93538.9087832924
176,91101.5362772704
177,79222.7964695107
178,76921.7841244006
179,79538.4186384464
180,77508.0856068244
181,92754.3313377751
182,104560.757859413
183,99239.154164921
184,88386.061333202
185,85402.0799129848
186,86102.3556008343
187,79510.7905130936
188,86586.5263498908
189,96696.1885768377
190,91820.6651271514
191,82344.8489628412
192,79526.8617852216
193,79351.9531702081
194,76507.8676785106
195,85201.2372248145
196,97207.3792600206
197,91063.1374349475
198,83719.713443002
199,80381.0003278095
200,84366.6808922912
201,77561.7663151547
202,83515.3397290902
203,94128.9522896644
204,88389.9669140828
205,82693.5719366592
206,79872.8078189107
207,80955.9245594627
208,75408.4188646507
209,85176.6999142211
210,99055.1734889495
211,94742.833594947
212,91196.9040848019
213,88526.5984538262
214,87924.0903776514
215,82100.0937360003
216,87859.1714593414
217,96194.31605934
218,90827.8896226244
219,84295.829716107
220,80750.2689446196
221,82475.9764900476
222,81473.6364856254
223,86611.9008558659
224,88012.0579324178
225,82598.526581217
226,85319.1105514606
